Date,Cases_Guinea,Cases_Liberia
1/5/2015,2776.0,
1/4/2015,2775.0,
1/3/2015,2769.0,8166.0
1/2/2015,,8157.0
12/31/2014,2730.0,8115.0
12/28/2014,2706.0,8018.0
12/27/2014,2695.0,
12/24/2014,2630.0,7977.0
12/21/2014,2597.0,
12/20/2014,2571.0,7862.0
12/18/2014,,7830.0
12/14/2014,2416.0,
12/9/2014,,7797.0
12/7/2014,2292.0,
12/3/2014,,7719.0
11/30/2014,2164.0,
11/28/2014,,7635.0
11/23/2014,2134.0,
11/22/2014,,7168.0
11/18/2014,2047.0,7082.0
11/16/2014,1971.0,
11/15/2014,,7069.0
11/11/2014,1919.0,
11/10/2014,,6878.0
11/9/2014,1878.0,
11/8/2014,,6822.0
11/4/2014,,6619.0
11/3/2014,1760.0,
11/2/2014,1731.0,
10/31/2014,,6525.0
10/29/2014,1667.0,
10/27/2014,1906.0,
10/25/2014,,6535.0
10/22/2014,,
10/21/2014,1553.0,
10/19/2014,1540.0,
10/18/2014,,4665.0
10/14/2014,1519.0,
10/13/2014,,4262.0
10/12/2014,1472.0,
10/11/2014,,4249.0
10/8/2014,,
10/7/2014,1350.0,4076.0
10/5/2014,1298.0,
10/4/2014,,3924.0
10/1/2014,1199.0,3834.0
9/28/2014,1157.0,3696.0
9/23/2014,1074.0,3458.0
9/21/2014,1022.0,3280.0
9/20/2014,,
9/19/2014,1008.0,
9/17/2014,,3022.0
9/14/2014,942.0,2710.0
9/13/2014,936.0,
9/10/2014,899.0,
9/9/2014,,2407.0
9/7/2014,861.0,2081.0
9/5/2014,812.0,1871.0
8/31/2014,771.0,1698.0
8/26/2014,648.0,1378.0
8/20/2014,607.0,1082.0
8/18/2014,579.0,972.0
8/16/2014,543.0,834.0
8/13/2014,519.0,786.0
8/11/2014,510.0,670.0
8/9/2014,506.0,599.0
8/6/2014,495.0,554.0
8/4/2014,495.0,516.0
8/1/2014,485.0,468.0
7/30/2014,472.0,391.0
7/27/2014,460.0,329.0
7/23/2014,427.0,249.0
7/20/2014,415.0,224.0
7/17/2014,410.0,196.0
7/14/2014,411.0,174.0
7/12/2014,406.0,172.0
7/8/2014,409.0,142.0
7/6/2014,408.0,131.0
7/2/2014,412.0,115.0
6/30/2014,413.0,107.0
6/22/2014,,51.0
6/20/2014,390.0,
6/19/2014,,41.0
6/18/2014,390.0,
6/17/2014,,
6/16/2014,398.0,33.0
6/10/2014,351.0,13.0
6/5/2014,,13.0
6/3/2014,344.0,13.0
6/1/2014,328.0,13.0
5/28/2014,291.0,13.0
5/27/2014,281.0,12.0
5/23/2014,258.0,12.0
5/12/2014,248.0,12.0
5/10/2014,233.0,12.0
5/7/2014,236.0,13.0
5/5/2014,235.0,13.0
5/3/2014,231.0,13.0
5/1/2014,226.0,13.0
4/26/2014,224.0,
4/24/2014,,35.0
4/23/2014,218.0,
4/22/2014,,
4/21/2014,,34.0
4/20/2014,208.0,
4/17/2014,203.0,27.0
4/16/2014,197.0,27.0
4/15/2014,,
4/14/2014,168.0,
4/11/2014,159.0,26.0
4/9/2014,158.0,25.0
4/7/2014,151.0,21.0
4/4/2014,143.0,18.0
4/1/2014,127.0,8.0
3/31/2014,122.0,8.0
3/29/2014,112.0,7.0
3/28/2014,112.0,3.0
3/27/2014,103.0,8.0
3/26/2014,86.0,
3/25/2014,86.0,
3/24/2014,86.0,
3/22/2014,49.0,
